Month,Weight(KG),Height(SM)
1,4.489795918,54.61
2,5.578231293,58.42
3,6.394557823,61.468
4,6.984126984,63.754
5,7.528344671,65.786
6,7.936507937,67.564
7,8.299319728,69.088
8,8.616780045,70.612
9,8.888888889,71.882
10,9.160997732,73.406
11,9.433106576,74.422
12,9.659863946,75.692
13,9.886621315,76.962
14,10.11337868,77.978
15,10.29478458,79.248
16,10.52154195,80.264
17,10.74829932,81.28
18,10.92970522,82.296
19,11.15646259,83.312
20,11.33786848,84.074
21,11.56462585,85.09
22,11.74603175,86.106
23,11.92743764,86.868
24,12.15419501,87.884